19
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13
6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12
7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11
8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10
9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9
10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8
11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6 7
12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5 6
13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4 5
14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3 4
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2 3
16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1 2
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 1
18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
