Iteration,Best Cost
1,276037.0
2,276037.0
3,276037.0
4,276037.0
5,276037.0
6,276037.0
7,276037.0
8,276037.0
9,276037.0
10,276037.0
11,276037.0
12,276037.0
13,276037.0
14,276037.0
15,276037.0
16,276037.0
17,276037.0
18,276037.0
19,276037.0
20,276037.0
21,276037.0
22,276037.0
23,276037.0
24,276037.0
25,276037.0
26,276037.0
27,276037.0
28,276037.0
29,276037.0
30,276037.0
31,276037.0
32,276037.0
33,276037.0
34,276037.0
35,276037.0
36,276037.0
37,276037.0
38,276037.0
39,276037.0
40,276037.0
41,276037.0
42,276037.0
43,276037.0
44,276037.0
45,276037.0
46,276037.0
47,276037.0
48,276037.0
49,276037.0
50,276037.0
51,276037.0
52,276037.0
53,276037.0
54,276037.0
55,276037.0
56,276037.0
57,276037.0
58,276037.0
59,276037.0
60,276037.0
61,276037.0
62,276037.0
63,276037.0
64,276037.0
65,276037.0
66,276037.0
67,276037.0
68,276037.0
69,276037.0
70,276037.0
71,276037.0
72,276037.0
73,276037.0
74,276037.0
75,276037.0
76,276037.0
77,276037.0
78,276037.0
79,276037.0
80,276037.0
81,276037.0
82,276037.0
83,276037.0
84,276037.0
85,276037.0
86,276037.0
87,276037.0
88,276037.0
89,276037.0
90,276037.0
91,276037.0
92,276037.0
93,276037.0
94,276037.0
95,276037.0
96,276037.0
97,276037.0
98,276037.0
99,276037.0
100,276037.0
